id1,entityname_original,entityname,Group1,Group1_id1,Group1_score,Group2,Group2_id1,Group2_score,Group3,Group3_id1,Group3_score,Group4,Group4_id1,Group4_score,Group5,Group5_id1,Group5_score,Group6,Group6_id1,Group6_score,Group7,Group7_id1,Group7_score,Group8,Group8_id1,Group8_score,Group9,Group9_id1,Group9_score,Group10,Group10_id1,Group10_score,Group11,Group11_id1,Group11_score,Group12,Group12_id1,Group12_score,Group13,Group13_id1,Group13_score,Group14,Group14_id1,Group14_score,Group15,Group15_id1,Group15_score,Group16,Group16_id1,Group16_score,Group17,Group17_id1,Group17_score,Group18,Group18_id1,Group18_score,Group19,Group19_id1,Group19_score,Group20,Group20_id1,Group20_score
6944,"Department of Computer Science, University of Toronto, Toronto, ON, Canada","Department of Computer Science, University of Toronto, Toronto, ON, Canada","Department of Computer Science, University of Toronto",2071,89.33333333333333,,,,"Department of Computer Science, University of Toronto",2071,89.33333333333333,,,,"Department of Computer Science, University of Toronto, Canada",8159,91.0,"Department of Computer Science, University of Toronto",2071,89.33333333333333,,,,,,,"Department of Computer Science, University of Toronto, Canada",8159,91.0,"Department of Computer Science, University of Toronto, Canada",8159,91.0,"Department of Computer Science, University of Toronto, Toronto, Canada M5S 3G4",8679,93.0,"Department of Computer Science, University of Toronto, Toronto, Canada M5S 3G4",8679,93.0,"Department of Computer Science, University of Toronto, Toronto, Canada M5S 3G4",8679,93.0,"Department of Computer Science, University of Toronto",2071,89.33333333333333,"Department of Computer Science, University of Toronto, Toronto, Canada",9480,96.33333333333333,"Department of Computer Science, University of Toronto, Toronto, Canada",9480,96.33333333333333,"Department of Computer Science, University of Toronto, Toronto, Canada",9480,96.33333333333333,"Department of Computer Science, University of Toronto, Toronto, Canada",9480,96.33333333333333,"Department of Computer Science, University of Toronto, Toronto, Canada",9480,96.33333333333333,,,
5905,"Cornell University, Ithaca, NY, USA","Cornell University, Ithaca, NY, USA","Cornell University, Ithaca, USA",6386,93.0,,,,"Cornell University, Ithaca, USA",6386,93.0,"Cornell University, Ithaca, USA",6386,93.0,,,,,,,"Cornell University Ithaca, NY",9139,93.66666666666667,,,,,,,"Cornell University, Ithaca, NY",2513,95.0,,,,,,,"Cornell University Ithaca, NY",9139,93.66666666666667,,,,"Cornell University, Ithaca, USA",6386,93.0,"Cornell University, Ithaca, NY",2513,95.0,,,,"Cornell University Ithaca, NY",9139,93.66666666666667,"Cornell University, Ithaca, USA",6386,93.0,,,
8368,"IBM Haifa Labs, Israel","IBM Haifa Labs, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,"Department of EECS, University of Michigan","Department of EECS, University of Michigan",,,,,,,"Department of EECS, University of Michigan, Ann Arbor, USA",8661,89.66666666666667,,,,,,,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,,,,,,,,,,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,,,,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,,,,"Department of EECS, University of Michigan, Ann Arbor, MI",1720,90.33333333333333,"Department of EECS, University of Michigan, Ann Arbor, USA",8661,89.66666666666667,,,,,,,,,
1962,"OGI School of Science & Engineering at, Oregon Health & Science University, Beaverton, Oregon","OGI School of Science & Engineering at, Oregon Health & Science University, Beaverton, Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7703,Software AG; e-mail: Thorsten.Fiebig@softwareag.com,Software AG; e-mail: Thorsten.Fiebig@softwareag.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7578,"Univ. of Munich, Munich, Germany","Univ. of Munich, Munich, Germany",,,,,,,,,,,,,,,,,,,,,,,,,"University of Munich, Munich, Germany",4095,89.66666666666667,"University of Munich, Munich, Germany",4095,89.66666666666667,,,,,,,,,,"University of Munich, Munich, Germany",4095,89.66666666666667,,,,,,,,,,,,,,,,,,
3865,"IBM Almaden Research Center, San Jose, CA, USA","IBM Almaden Research Center, San Jose, CA, USA","IBM Almaden Research Center, San Jose, CA",15,96.33333333333333,,,,"Almaden Research Center, San Jose, CA, USA",5887,96.66666666666667,"IBM Almaden, Research Center, San Jose, CA",1856,95.33333333333333,,,,"IBM Almaden Research Center, San Jose, USA 95120",9338,90.0,"IBM Almaden Research Center, San Jos, CA, USA",6150,98.66666666666667,,,,"IBM Almaden Research Center, San Jose CA",1715,95.33333333333333,,,,"IBM Almaden Research Center, San Jose, USA",5767,95.33333333333333,"IBM Almaden Research Center, San Jos, CA, USA",6150,98.66666666666667,"IBM Almaden, Research Center, San Jose, CA",1856,95.33333333333333,"IBM Almaden Research Center, San Jose CA",1715,95.33333333333333,"Almaden Research Center, San Jose, CA, USA",5887,96.66666666666667,"IBM Almaden Research Center San Jose , CA",6549,95.0,"IBM Almaden, Research Center, San Jose, CA",1856,95.33333333333333,,,,"IBM Almaden Research Center, San Jose, USA 95120",9338,90.0,,,
736,Brown University,Brown University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,"BEA Systems, Inc.,","BEA Systems, Inc.,",,,,,,,"BEA Systems, Inc.",2465,99.0,"BEA Systems, Inc.",2465,99.0,"BEA Systems, Inc.",2465,99.0,,,,,,,"BEA Systems, Inc.",2465,99.0,"BEA Systems, Inc.",2465,99.0,,,,"BEA Systems, Inc.",2465,99.0,,,,,,,,,,,,,"BEA Systems, Inc.",2465,99.0,,,,"BEA Systems, Inc.",2465,99.0,"BEA Systems, Inc.",2465,99.0,,,
